Feature ID,row m/z,row retention time,peaks,ADULT_1,ADULT_2,Adult_ave,NEONATE_1,NEONATE_2,Neonate_ave,Overall_ave,fold_change,
641.329:18.5,641.3290405,18.47654167,4,6.6E+08,6.9E+08,6.8E+08,2.4E+09,2.4E+09,2.4E+09,1.5E+09,-1.8,
8672.7719:26.3,8672.771851,26.28429167,4,1.3E+09,1.0E+09,1.2E+09,1.3E+09,3.5E+08,8.3E+08,9.9E+08,0.5,
8203.6607:32.2,8203.66074,32.23258333,2,5.4E+08,3.9E+08,4.7E+08,1.8E+09,5.0E+08,1.2E+09,8.1E+08,-1.3,
8247.6268:26.9,8247.626831,26.94704167,4,8.5E+08,9.1E+08,8.8E+08,3.4E+08,3.2E+08,3.3E+08,6.1E+08,1.4,
8374.6587:33.9,8374.658691,33.878,2,1.1E+09,4.1E+08,7.6E+08,4.4E+08,1.1E+08,2.8E+08,5.2E+08,1.5,
698.3505:16.7,698.3504562,16.6773625,4,1.4E+08,1.4E+08,1.4E+08,6.6E+08,6.6E+08,6.6E+08,4.0E+08,-2.2,
883.4306:15.6,883.4305954,15.57839167,4,1.9E+08,1.9E+08,1.9E+08,5.9E+08,5.8E+08,5.9E+08,3.9E+08,-1.6,
9983.5149:24.9,9983.514925,24.948,2,6.4E+08,2.3E+08,4.4E+08,2.5E+08,3.2E+08,2.9E+08,3.6E+08,0.6,
785.3714:17.4,785.3714066,17.38983333,4,3.4E+08,3.6E+08,3.5E+08,1.7E+08,1.6E+08,1.7E+08,2.6E+08,1.1,
671.2919:20.5,671.2918549,20.54466667,4,2.8E+08,2.9E+08,2.9E+08,1.8E+08,1.9E+08,1.9E+08,2.4E+08,0.6,
8204.6653:32.5,8204.665283,32.51891667,2,1.5E+08,1.8E+08,1.7E+08,4.0E+08,2.0E+08,3.0E+08,2.3E+08,-0.9,
9977.5667:23.6,9977.56665,23.60395833,4,6.2E+08,1.9E+08,4.1E+08,8.1E+07,6.0E+05,4.1E+07,2.2E+08,3.3,
348.1336:1.5,348.1336174,1.484470833,4,2.8E+08,2.9E+08,2.9E+08,5.1E+05,2.8E+08,1.4E+08,2.1E+08,1.0,
9978.5491:24.2,9978.549093,24.190625,2,4.1E+08,2.8E+08,3.5E+08,4.5E+06,5.3E+06,4.9E+06,1.7E+08,6.1,
8248.6329:27.4,8248.632935,27.38975,4,2.2E+08,2.4E+08,2.3E+08,6.8E+07,6.5E+07,6.7E+07,1.5E+08,1.8,
9977.5279:24.1,9977.527941,24.140375,2,1.4E+08,3.6E+07,8.8E+07,2.3E+08,1.3E+08,1.8E+08,1.3E+08,-1.0,
10114.6037:24.6,10114.60367,24.60695833,2,1.1E+08,1.5E+08,1.3E+08,1.6E+08,1.1E+08,1.4E+08,1.3E+08,-0.1,
