"Feature.ID","row.m.z","row.retention.time","peaks","ADULT_1","ADULT_2","Adult_ave","NEONATE_1","NEONATE_2","Neonate_ave","Overall_ave","fold_change","X","match","pname","pval"
"641.329:18.5",641.3290405,18.47654167,4,6.6e+08,6.9e+08,6.8e+08,2.4e+09,2.4e+09,2.4e+09,1.5e+09,"-1.8",NA,"","",""
"8672.7719:26.3",8672.771851,26.28429167,4,1.3e+09,1e+09,1.2e+09,1.3e+09,3.5e+08,8.3e+08,9.9e+08,"0.5",NA,"ADULT_red_2_369;ADULT_red_1_335;NEONATE_red_1_282;NEONATE_red_1_295;NEONATE_red_2_322;ADULT_red_2_356;NEONATE_red_2_313;NEONATE_red_2_283;ADULT_red_2_293;NEONATE_red_1_314","pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin;pdb|2H7Z|B Chain B, Crystal Structure Of Irditoxin","3.46e-34;3.46e-34;1.63e-33;1.63e-33;1.63e-33;7.67e-33;8.61e-32;3.69e-31;5.54e-31;9.66e-31"
"8203.6607:32.2",8203.66074,32.23258333,2,5.4e+08,3.9e+08,4.7e+08,1.8e+09,5e+08,1.2e+09,8.1e+08,"-1.3",NA,"NEONATE_red_1_484;NEONATE_red_2_513;NEONATE_red_2_499;NEONATE_red_2_511;NEONATE_red_2_497;NEONATE_red_1_487;NEONATE_red_1_491;NEONATE_red_1_494;ADULT_red_2_645;ADULT_red_2_644","JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis];JAG68975.1 Three-finger toxin 8d [Boiga irregularis]_JAG68977.1 Three-finger toxin 8b [Boiga irregularis]_JAS04612.1 Three-finger toxin 8d [Boiga irregularis]_JAS04614.1 Three-finger toxin 8b [Boiga irregularis]","1.12e-25;3.02e-23;1.87e-21;1.87e-21;1.79e-20;1.72e-19;1.65e-18;1.65e-18;1.65e-18;1.65e-18"
"8247.6268:26.9",8247.626831,26.94704167,4,8.5e+08,9.1e+08,8.8e+08,3.4e+08,3.2e+08,3.3e+08,6.1e+08,"1.4",NA,"ADULT_red_2_441;ADULT_red_2_396;ADULT_red_2_378;ADULT_red_1_351;ADULT_red_2_381;NEONATE_red_1_337;NEONATE_red_1_339;NEONATE_red_2_355;NEONATE_red_2_346;NEONATE_red_1_349","pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;JAG68981.1 Three-finger toxin 7b [Boiga irregularis]_JAS04618.1 Three-finger toxin 7b [Boiga irregularis];pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;JAG68981.1 Three-finger toxin 7b [Boiga irregularis]_JAS04618.1 Three-finger toxin 7b [Boiga irregularis];JAG68981.1 Three-finger toxin 7b [Boiga irregularis]_JAS04618.1 Three-finger toxin 7b [Boiga irregularis]","1.15e-23;5.33e-23;5.33e-23;5.33e-23;4.73e-22;2.29e-21;4.19e-21;4.19e-21;2.04e-20;2.04e-20"
"8374.6587:33.9",8374.658691,33.878,2,1.1e+09,4.1e+08,7.6e+08,4.4e+08,1.1e+08,2.8e+08,5.2e+08,"1.5",NA,"NEONATE_red_1_581;ADULT_red_1_668;NEONATE_red_2_591;ADULT_red_1_651;NEONATE_red_1_561;NEONATE_red_1_591;NEONATE_red_1_579;ADULT_red_2_715;ADULT_red_1_701;ADULT_red_2_749","pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin;pdb|2H7Z|A Chain A, Crystal Structure Of Irditoxin","7.94e-28;5.06e-27;3.22e-26;1.63e-23;7.55e-23;5.73e-22;4.35e-21;4.35e-21;6.58e-21;1.24e-20"
"698.3505:16.7",698.3504562,16.6773625,4,1.4e+08,1.4e+08,1.4e+08,6.6e+08,6.6e+08,6.6e+08,4e+08,"-2.2",NA,"","",""
"883.4306:15.6",883.4305954,15.57839167,4,1.9e+08,1.9e+08,1.9e+08,5.9e+08,5.8e+08,5.9e+08,3.9e+08,"-1.6",NA,"","",""
"9983.5149:24.9",9983.514925,24.948,2,6.4e+08,2.3e+08,4.4e+08,2.5e+08,3.2e+08,2.9e+08,3.6e+08,"0.6",NA,"ADULT_red_2_254;ADULT_red_2_236;ADULT_red_1_218;ADULT_red_2_260;ADULT_red_1_229;NEONATE_red_1_194;NEONATE_red_2_222;NEONATE_red_2_226;NEONATE_red_2_218;ADULT_red_2_264","ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis];ANN23939.1 three finger toxin 3 [Boiga irregularis]","1.32e-29;1.32e-29;3.99e-29;2.1e-27;2.1e-27;1.2e-26;1.2e-26;6.85e-26;6.85e-26;2.86e-25"
"785.3714:17.4",785.3714066,17.38983333,4,3.4e+08,3.6e+08,3.5e+08,1.7e+08,1.6e+08,1.7e+08,2.6e+08,"1.1",NA,"","",""
"671.2919:20.5",671.2918549,20.54466667,4,2.8e+08,2.9e+08,2.9e+08,1.8e+08,1.9e+08,1.9e+08,2.4e+08,"0.6",NA,"","",""
